acquirer_name,assignee_name,is_match,simple_ratio,partial_ratio,sort_ratio,set_ratio,simple*partial,simple*sort,simple*set,partial*sort,partial*set,sort*set,simple^2,partial^2,sort^2,set^2
nkt photonics,nkt research & innovation a/s,1,0.48,0.46,0.35,0.5,0.2208,0.16799999999999998,0.24,0.161,0.23,0.175,0.2304,0.2116,0.12249999999999998,0.25
nkt photonics,nkt photonics,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schott ag,schott ag,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schott ag,schott solar ag,1,0.75,0.78,0.75,1.0,0.585,0.5625,0.75,0.585,0.78,0.75,0.5625,0.6084,0.5625,1.0
schott ag,schott glaswerke,1,0.64,0.89,0.64,0.8,0.5696,0.4096,0.512,0.5696,0.7120000000000001,0.512,0.4096,0.7921,0.4096,0.6400000000000001
schott ag,schot glas,1,0.74,0.78,0.74,0.74,0.5772,0.5476,0.5476,0.5772,0.5772,0.5476,0.5476,0.6084,0.5476,0.5476
abb,abb technology ag,1,0.3,1.0,0.3,1.0,0.3,0.09,0.3,0.3,1.0,0.3,0.09,1.0,0.09,1.0
abb,abb research ltd,1,0.32,1.0,0.32,1.0,0.32,0.1024,0.32,0.32,1.0,0.32,0.1024,1.0,0.1024,1.0
abb,abb schweiz ag,1,0.35,1.0,0.35,1.0,0.35,0.12249999999999998,0.35,0.35,1.0,0.35,0.12249999999999998,1.0,0.12249999999999998,1.0
danaher,danaher motion stockholm ab,1,0.41,1.0,0.41,1.0,0.41,0.16809999999999997,0.41,0.41,1.0,0.41,0.16809999999999997,1.0,0.16809999999999997,1.0
microline pentax,"microline surgical, inc.",1,0.55,0.62,0.58,0.72,0.341,0.319,0.396,0.3596,0.44639999999999996,0.41759999999999997,0.30250000000000005,0.3844,0.3364,0.5184
technipfmc,"technip process technology, inc.",1,0.38,0.7,0.4,0.4,0.26599999999999996,0.15200000000000002,0.15200000000000002,0.27999999999999997,0.27999999999999997,0.16000000000000003,0.1444,0.48999999999999994,0.16000000000000003,0.16000000000000003
iovation,iovation llc,1,0.8,1.0,0.8,1.0,0.8,0.6400000000000001,0.8,0.8,1.0,0.8,0.6400000000000001,1.0,0.6400000000000001,1.0
iovation,"iovation, inc.",1,0.73,1.0,0.8,1.0,0.73,0.584,0.73,0.8,1.0,0.8,0.5328999999999999,1.0,0.6400000000000001,1.0
sanofi aventis,sanofi pasteur inc.,1,0.61,0.64,0.56,0.6,0.3904,0.3416,0.366,0.35840000000000005,0.384,0.336,0.3721,0.4096,0.31360000000000005,0.36
sanofi aventis,sanofi,1,0.6,1.0,0.6,1.0,0.6,0.36,0.6,0.6,1.0,0.6,0.36,1.0,0.36,1.0
sanofi aventis,sanofi pasteur limited,1,0.56,0.64,0.5,0.6,0.35840000000000005,0.28,0.336,0.32,0.384,0.3,0.31360000000000005,0.4096,0.25,0.36
japan display inc.,japan display inc.,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
japan display inc.,japan display central inc.,1,0.82,0.83,0.81,1.0,0.6805999999999999,0.6642,0.82,0.6723,0.83,0.81,0.6723999999999999,0.6889,0.6561000000000001,1.0
mckesson,mckesson financial holdings,1,0.46,1.0,0.46,1.0,0.46,0.2116,0.46,0.46,1.0,0.46,0.2116,1.0,0.2116,1.0
centurylink,centurylink intellectual property llc,1,0.46,1.0,0.46,1.0,0.46,0.2116,0.46,0.46,1.0,0.46,0.2116,1.0,0.2116,1.0
dialogic,dialogic networks (israel) ltd.,1,0.41,1.0,0.44,1.0,0.41,0.18039999999999998,0.41,0.44,1.0,0.44,0.16809999999999997,1.0,0.1936,1.0
"gambro, inc",gambro lundia ab,1,0.59,0.73,0.62,0.75,0.43069999999999997,0.36579999999999996,0.4425,0.4526,0.5475,0.46499999999999997,0.34809999999999997,0.5328999999999999,0.3844,0.5625
"gambro, inc","gambro uf solutions, inc.",1,0.61,0.64,0.61,1.0,0.3904,0.3721,0.61,0.3904,0.64,0.61,0.3721,0.4096,0.3721,1.0
intel,intel corporation,1,0.45,1.0,0.45,1.0,0.45,0.2025,0.45,0.45,1.0,0.45,0.2025,1.0,0.2025,1.0
intel,intel ip corporation,1,0.4,1.0,0.4,1.0,0.4,0.16000000000000003,0.4,0.4,1.0,0.4,0.16000000000000003,1.0,0.16000000000000003,1.0
intel,intel deutschland gmbh,1,0.37,1.0,0.37,1.0,0.37,0.1369,0.37,0.37,1.0,0.37,0.1369,1.0,0.1369,1.0
intel,intel mobile communications gmbh,1,0.27,1.0,0.27,1.0,0.27,0.0729,0.27,0.27,1.0,0.27,0.0729,1.0,0.0729,1.0
